para_name_old;para_name_new
DD;dd
DDX;ddx
FF;ff
FFAM;ffam
FFX;ffx
GSX;cglo
HSX;chim
P;p
P0;pred
RF;rf
RR;rr
RRM;rrm
SH;sh
SO;so
TB1;tb10
TB2;tb20
TB3;tb50
TL;tl
TLMAX;tlmax
TLMIN;tlmin
TS;ts
TSMAX;tsmax
TSMIN;tsmin
ZEITX;zeitx
QFLAG;
HFAK;
HSR;
K12;
TP;
VER;
