para_name_old;para_name_new
D6X;dd
FFX;rf
GSW;cglo
LT2;tsmin
PPX;p
PPY;pred
RSD;rrm
RSX;rr
SCH;sh
SUX;so_h
TT0;tb200
TT2;tb10
TT3;tb20
TT4;tb50
TT5;tb100
TTX;tl
VVX;ff
WSD;ddx
WSX;ffx
WSZ;zeitx
